CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
Introduction,20150101,jour,3,276368.349,5041011.487,45.5084443742,-73.8638619943
Introduction,20150101,nuit,8,289215.072,5036423.336,45.4675637408,-73.6993082284
Introduction,20150101,soir,8,289171.125,5032933.0,45.4361551223,-73.6997593365
Introduction,20150101,soir,13,297145.531,5032845.5,45.4355005242,-73.5978339091
Introduction,20150101,soir,13,295850.656,5031729.5,45.4254427938,-73.6143637552
Introduction,20150101,soir,15,297494.204,5034925.532,45.4542214437,-73.5934083124
Introduction,20150101,jour,15,299192.516,5038121.849,45.4829991233,-73.5717310228
Introduction,20150101,soir,15,298792.152,5038772.284,45.4888486988,-73.5768604398
Introduction,20150101,jour,16,299612.0,5036898.0,45.4719896049,-73.5663520543
Introduction,20150101,jour,23,302375.198,5046522.116,45.5586064034,-73.5310596777
Introduction,20150101,jour,23,302375.198,5046522.116,45.5586064034,-73.5310596777
Introduction,20150101,soir,27,293203.473,5045435.947,45.5487403549,-73.6485157874
Introduction,20150101,jour,27,291594.648,5045992.753,45.5537220252,-73.6691348221
Introduction,20150101,soir,38,299559.16,5042464.672,45.5220805386,-73.5670873074
Introduction,20150101,jour,38,298357.093,5043958.592,45.5355133257,-73.5824944436
Introduction,20150101,nuit,38,298080.297,5042832.373,45.5253765699,-73.5860230648
Introduction,20150101,jour,42,297210.375,5050179.5,45.5914795101,-73.597273462
Introduction,20150101,soir,44,298915.434,5046911.544,45.5620899603,-73.5753810079
Introduction,20150101,soir,48,300001.879,5050383.079,45.5933362336,-73.5614977984
Introduction,20150101,nuit,48,302729.266,5050945.833,45.5984135228,-73.5265431127
Introduction,20150101,jour,49,305327.122,5059316.968,45.6737417187,-73.4932341782
Introduction,20150102,nuit,3,275828.161,5037882.246,45.4802644342,-73.8705903275
Introduction,20150102,soir,3,274419.087,5035769.673,45.4611950264,-73.8884833233
Introduction,20150102,nuit,11,0,0,1,1
Introduction,20150102,soir,15,299198.266,5038672.049,45.4879501172,-73.5716637459
Introduction,20150102,soir,15,299802.189,5037283.548,45.4754603345,-73.5639235512
Introduction,20150102,jour,16,0,0,1,1
Introduction,20150102,soir,23,301921.988,5045647.117,45.5507311331,-73.5368597683
Introduction,20150102,nuit,26,293804.46,5040172.047,45.5013835916,-73.6407008907
Introduction,20150102,jour,27,293611.025,5046988.427,45.5627167312,-73.6433318281
Introduction,20150102,jour,27,292291.492,5046280.536,45.5563244524,-73.6602170031
Introduction,20150102,jour,27,291526.191,5045808.299,45.5520609491,-73.6700066143
Introduction,20150102,soir,27,292291.492,5046280.536,45.5563244524,-73.6602170031
Introduction,20150102,soir,27,293447.304,5044656.555,45.5417311421,-73.6453749958
Introduction,20150102,soir,30,297291.405,5047237.744,45.5650095908,-73.5961897241
Introduction,20150102,soir,35,296169.058,5043288.254,45.5294577114,-73.6104980023
Introduction,20150102,jour,38,297673.907,5042772.08,45.5248299926,-73.5912246283
Introduction,20150102,jour,38,298918.894,5043587.593,45.5321799061,-73.5752967417
Introduction,20150102,jour,38,299456.89,5044003.039,45.5359225774,-73.5684132307
Introduction,20150102,soir,44,300278.987,5044726.107,45.5424348287,-73.5578937756
Introduction,20150102,soir,45,298976.917,5057024.928,45.6530933077,-73.5747141306
Introduction,20150103,soir,3,276445.719,5041654.0,45.5142290077,-73.862909005
Introduction,20150103,jour,7,290620.84,5041708.888,45.5151552239,-73.6814833125
Introduction,20150103,nuit,8,290515.25,5034026.5,45.4460237153,-73.6826113316
Introduction,20150103,soir,8,291430.938,5033359.0,45.4400353404,-73.6708874105
Introduction,20150103,nuit,11,296291.119,5037159.598,45.4743110174,-73.6088290125
Introduction,20150103,nuit,11,295524.941,5035913.496,45.4630882552,-73.6186049285
Introduction,20150103,nuit,13,296176.721,5034170.925,45.4474160989,-73.6102397438
Introduction,20150103,nuit,13,294807.11,5031914.938,45.427097333,-73.6277029706
Introduction,20150103,jour,13,292238.75,5032293.0,45.4304579182,-73.6605345543
Introduction,20150103,soir,15,299752.788,5037323.048,45.4758154186,-73.5645558107
Introduction,20150103,soir,16,299467.125,5036717.5,45.470364289,-73.5682029765
Introduction,20150103,soir,16,298863.594,5035625.0,45.4605285782,-73.5759084275
Introduction,20150103,soir,20,298697.56,5039722.85,45.4974014869,-73.5780824053
Introduction,20150103,nuit,20,299607.23,5040686.567,45.5060807864,-73.5664531363
Introduction,20150103,nuit,23,301505.705,5044656.38,45.5418142808,-73.5421845894
Introduction,20150103,nuit,23,302404.529,5046222.679,45.5559120679,-73.5306825058
Introduction,20150103,soir,26,294603.646,5041112.057,45.5098543188,-73.6304939337
Introduction,20150103,jour,26,294529.1,5037910.502,45.4810442929,-73.6313809707
Introduction,20150103,jour,30,296596.604,5046498.166,45.5583467882,-73.6050781317
Introduction,20150103,nuit,30,296596.879,5046402.127,45.5574826009,-73.6050729987
Introduction,20150103,jour,31,295769.17,5045577.779,45.5500546007,-73.615659807
Introduction,20150103,soir,31,295919.025,5044464.158,45.5400357806,-73.613720379
Introduction,20150103,soir,38,298295.494,5043789.091,45.5339875205,-73.5832808998
Introduction,20150103,jour,44,299539.777,5047927.083,45.5712331061,-73.5673941363
Introduction,20150104,soir,7,290943.654,5043441.622,45.53075347,-73.6774005359
Introduction,20150104,nuit,11,296340.618,5036678.331,45.4699809554,-73.6081876329
Introduction,20150104,jour,12,298814.046,5039154.917,45.4922919878,-73.5765850089
Introduction,20150104,soir,13,292395.406,5032202.5,45.4296463491,-73.6585301965
